epoch,step,test_loss,train_loss,val_loss
0,32,,,7856068.5
1,49,,7744556.0,
1,65,,,7668411.0
2,98,,,6581762.5
3,99,,6477804.5,
3,131,,,3380379.0
4,149,,1251196.125,
4,164,,,223279.703125
5,197,,,69068.953125
6,199,,207868.265625,
6,230,,,42568.9140625
7,249,,120249.4375,
7,263,,,25794.744140625
8,296,,,16842.98828125
9,299,,77554.4375,
9,329,,,11991.349609375
10,349,,113643.1171875,
10,362,,,7014.24560546875
11,395,,,5062.083984375
12,399,,92242.5703125,
12,428,,,3125.77978515625
13,449,,54501.9921875,
13,461,,,5562.048828125
14,494,,,2968.064208984375
15,499,,47921.796875,
15,527,,,3043.258056640625
16,549,,69044.4375,
16,560,,,4481.4599609375
17,593,,,2277.572265625
18,599,,59506.765625,
18,626,,,3214.720947265625
19,649,,91388.6875,
19,659,,,2999.2734375
20,692,,,3747.02685546875
21,699,,77431.7734375,
21,725,,,2505.982177734375
22,749,,48176.9921875,
22,758,,,1090.125244140625
23,791,,,2662.7998046875
24,799,,70333.4296875,
24,824,,,1358.513671875
25,849,,77422.03125,
25,857,,,1579.1182861328125
26,890,,,2461.52099609375
27,899,,95258.9921875,
27,923,,,1290.5467529296875
28,924,1204.0015869140625,,
